id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
52,Ashkāsham,3901,BDS,Badakhshan,1,AF,Afghanistan,36.68333,71.53333,Q4805192
68,Fayzabad,3901,BDS,Badakhshan,1,AF,Afghanistan,37.11664,70.58002,Q156558
78,Jurm,3901,BDS,Badakhshan,1,AF,Afghanistan,36.86477,70.83421,Q10308323
84,Khandūd,3901,BDS,Badakhshan,1,AF,Afghanistan,36.95127,72.318,Q3290334
115,Rāghistān,3901,BDS,Badakhshan,1,AF,Afghanistan,37.66079,70.67346,Q2670909
131,Wākhān,3901,BDS,Badakhshan,1,AF,Afghanistan,37.0571,73.34928,Q2509959
72,Ghormach,3871,BDG,Badghis,1,AF,Afghanistan,35.73062,63.78264,Q5556982
108,Qala i Naw,3871,BDG,Badghis,1,AF,Afghanistan,34.98735,63.12891,Q26396
54,Baghlān,3875,BGL,Baghlan,1,AF,Afghanistan,36.13068,68.70829,Q732879
140,Ḩukūmatī Dahanah-ye Ghōrī,3875,BGL,Baghlan,1,AF,Afghanistan,35.90617,68.48869,Q5194960
101,Nahrīn,3875,BGL,Baghlan,1,AF,Afghanistan,36.0649,69.13343,Q6959392
105,Pul-e Khumrī,3875,BGL,Baghlan,1,AF,Afghanistan,35.94458,68.71512,Q477148
55,Balkh,3884,BAL,Balkh,1,AF,Afghanistan,36.75635,66.8972,Q182159
65,Dowlatābād,3884,BAL,Balkh,1,AF,Afghanistan,36.98821,66.82069,Q2163607
85,Khulm,3884,BAL,Balkh,1,AF,Afghanistan,36.69736,67.69826,Q1014375
91,Lab-Sar,3884,BAL,Balkh,1,AF,Afghanistan,36.02634,66.83799,Q21813067
97,Mazār-e Sharīf,3884,BAL,Balkh,1,AF,Afghanistan,36.70904,67.11087,Q130469
112,Qarchī Gak,3884,BAL,Balkh,1,AF,Afghanistan,37.03999,66.78891,Q3290339
57,Bāmyān,3872,BAM,Bamyan,1,AF,Afghanistan,34.82156,67.82734,Q214495
104,Panjāb,3872,BAM,Bamyan,1,AF,Afghanistan,34.38795,67.02327,Q7131225
102,Nīlī,3892,DAY,Daykundi,1,AF,Afghanistan,33.76329,66.07617,Q3218967
66,Farah,3899,FRA,Farah,1,AF,Afghanistan,32.37451,62.11638,Q593156
50,Andkhoy,3889,FYB,Faryab,1,AF,Afghanistan,36.95293,65.12376,Q1054127
96,Maymana,3889,FYB,Faryab,1,AF,Afghanistan,35.92139,64.78361,Q309345
71,Ghazni,3870,GHA,Ghazni,1,AF,Afghanistan,33.55391,68.42096,Q173731
67,Fayrōz Kōh,3888,GHO,Ghōr,1,AF,Afghanistan,34.51952,65.25093,Q958621
121,Shahrak,3888,GHO,Ghōr,1,AF,Afghanistan,34.10737,64.3052,Q7461922
141,‘Alāqahdārī Dīshū,3873,HEL,Helmand,1,AF,Afghanistan,30.43206,63.29802,Q5194960
70,Gereshk,3873,HEL,Helmand,1,AF,Afghanistan,31.82089,64.57005,Q3735459
93,Lashkar Gāh,3873,HEL,Helmand,1,AF,Afghanistan,31.59382,64.37161,Q476800
